gene	ENSG00000231620	ENST00000433210
isoform	ENST00000433210	ENSE00001802701;ENSE00001729938
exon	ENSE00001359698	4679025	4679438
exon	ENSE00001382509	4711891	4711968
exon	ENSE00001020305	4714997	4715141
exon	ENSE00003513801	4726904	4727027
exon	ENSE00003612782	4740502	4740664
exon	ENSE00003471173	4748757	4748843
exon	ENSE00003563904	4754121	4754258
exon	ENSE00003615186	4757809	4757885
exon	ENSE00003654731	4760137	4760210
exon	ENSE00001020279	4767698	4767846
exon	ENSE00001020310	4773039	4773166
exon	ENSE00001020334	4773966	4774061
exon	ENSE00001183063	4775204	4775365
exon	ENSE00001183092	4775977	4776203
exon	ENSE00001020326	4779531	4779601
exon	ENSE00001020314	4780401	4780629
exon	ENSE00001020335	4782348	4782548
exon	ENSE00001020266	4791398	4791540
exon	ENSE00001020318	4798777	4798872
exon	ENSE00001020323	4813268	4813446
exon	ENSE00001020284	4815266	4815344
exon	ENSE00001020332	4819068	4819147
exon	ENSE00001020331	4823403	4823526
exon	ENSE00001020263	4826796	4826991
exon	ENSE00001359373	4827303	4829058
isoform	ENST00000449491	ENSE00001645429;ENSE00001736182;ENSE00001020318;ENSE00001020323;ENSE00001020284;ENSE00001020332;ENSE00001747540
exon	ENSE00001645429	4791518	4791540
exon	ENSE00001736182	4796663	4796776
exon	ENSE00001020318	4798777	4798872
exon	ENSE00001020323	4813268	4813446
exon	ENSE00001020284	4815266	4815344
exon	ENSE00001020332	4819068	4819147
exon	ENSE00001747540	4823403	4823518
isoform	ENST00000464435	ENSE00001819630;ENSE00001825349
exon	ENSE00001819630	4748534	4748843
exon	ENSE00001825349	4754121	4754655
isoform	ENST00000400183	ENSE00001359698;ENSE00001382509;ENSE00001020305;ENSE00003513801;ENSE00003612782;ENSE00003471173;ENSE00003563904;ENSE00003615186;ENSE00003654731;ENSE00001020279;ENSE00001020310;ENSE00001020334;ENSE00001183063;ENSE00001183092;ENSE00001020326;ENSE00001020314;ENSE00001020335;ENSE00001020266;ENSE00001736182;ENSE00001020318;ENSE00001020323;ENSE00001020284;ENSE00001020332;ENSE00001020331;ENSE00001020263;ENSE00003745204
exon	ENSE00001359698	4679025	4679438
exon	ENSE00001382509	4711891	4711968
exon	ENSE00001020305	4714997	4715141
exon	ENSE00003513801	4726904	4727027
exon	ENSE00003612782	4740502	4740664
exon	ENSE00003471173	4748757	4748843
exon	ENSE00003563904	4754121	4754258
exon	ENSE00003615186	4757809	4757885
exon	ENSE00003654731	4760137	4760210
exon	ENSE00001020279	4767698	4767846
exon	ENSE00001020310	4773039	4773166
exon	ENSE00001020334	4773966	4774061
exon	ENSE00001183063	4775204	4775365
exon	ENSE00001183092	4775977	4776203
exon	ENSE00001020326	4779531	4779601
exon	ENSE00001020314	4780401	4780629
exon	ENSE00001020335	4782348	4782548
exon	ENSE00001020266	4791398	4791540
exon	ENSE00001736182	4796663	4796776
exon	ENSE00001020318	4798777	4798872
exon	ENSE00001020323	4813268	4813446
exon	ENSE00001020284	4815266	4815344
exon	ENSE00001020332	4819068	4819147
exon	ENSE00001020331	4823403	4823526
exon	ENSE00001020263	4826796	4826991
exon	ENSE00003745204	4827303	4829069
isoform	ENST00000547201	ENSE00002387577;ENSE00003541091;ENSE00003583676;ENSE00003529088;ENSE00003693927;ENSE00003459499;ENSE00003461132;ENSE00002397072
exon	ENSE00002387577	4722256	4722317
exon	ENSE00003541091	4726904	4727027
exon	ENSE00003583676	4740502	4740664
exon	ENSE00003529088	4748757	4748843
exon	ENSE00003693927	4754121	4754258
exon	ENSE00003459499	4757809	4757885
exon	ENSE00003461132	4760137	4760210
exon	ENSE00002397072	4767698	4767729
gene	ENSG00000212564	ENST00000391262
isoform	ENST00000391262	ENSE00001808578
exon	ENSE00001808578	4563283	4563389
gene	ENSG00000154654	ENST00000284894;ENST00000486367;ENST00000484983;ENST00000400546;ENST00000461281
isoform	ENST00000284894	ENSE00003749383;ENSE00003691834;ENSE00003484151;ENSE00003667449;ENSE00003570848;ENSE00003633427;ENSE00001017033;ENSE00001017041;ENSE00001017045;ENSE00001017052;ENSE00001017031;ENSE00003566319;ENSE00003613335;ENSE00001017035;ENSE00001017048;ENSE00001017044;ENSE00001315726
exon	ENSE00003749383	10229576	10229652
exon	ENSE00003691834	10233194	10233400
exon	ENSE00003484151	10235269	10235412
exon	ENSE00003667449	10241104	10241241
exon	ENSE00003570848	10273383	10273500
exon	ENSE00003633427	10284505	10284665
exon	ENSE00001017033	10287389	10287534
exon	ENSE00001017041	10322863	10323013
exon	ENSE00001017045	10359274	10359461
exon	ENSE00001017052	10367473	10367569
exon	ENSE00001017031	10381108	10381281
exon	ENSE00003566319	10415606	10415725
exon	ENSE00003613335	10417662	10417783
exon	ENSE00001017035	10426291	10426471
exon	ENSE00001017048	10457851	10458055
exon	ENSE00001017044	10483537	10483656
exon	ENSE00001315726	10486846	10489195
isoform	ENST00000486367	ENSE00001889667;ENSE00003486515;ENSE00003459285;ENSE00003462661;ENSE00001932067
exon	ENSE00001889667	10188342	10188411
exon	ENSE00003486515	10229578	10229652
exon	ENSE00003459285	10233194	10233400
exon	ENSE00003462661	10235269	10235412
exon	ENSE00001932067	10241104	10241190
isoform	ENST00000484983	ENSE00001828379;ENSE00003546575;ENSE00003567949
exon	ENSE00001828379	10412741	10412838
exon	ENSE00003546575	10415606	10415725
exon	ENSE00003567949	10417662	10417783
isoform	ENST00000400546	ENSE00001543472;ENSE00003496361;ENSE00003691834;ENSE00003484151;ENSE00003667449;ENSE00003570848;ENSE00003633427;ENSE00001017033;ENSE00001017041;ENSE00001017045;ENSE00001017052;ENSE00001017031;ENSE00003566319;ENSE00003613335;ENSE00001017035;ENSE00001017048;ENSE00001017044;ENSE00001543443
exon	ENSE00001543472	9947315	9947618
exon	ENSE00003496361	10229578	10229652
exon	ENSE00003691834	10233194	10233400
exon	ENSE00003484151	10235269	10235412
exon	ENSE00003667449	10241104	10241241
exon	ENSE00003570848	10273383	10273500
exon	ENSE00003633427	10284505	10284665
exon	ENSE00001017033	10287389	10287534
exon	ENSE00001017041	10322863	10323013
exon	ENSE00001017045	10359274	10359461
exon	ENSE00001017052	10367473	10367569
exon	ENSE00001017031	10381108	10381281
exon	ENSE00003566319	10415606	10415725
exon	ENSE00003613335	10417662	10417783
exon	ENSE00001017035	10426291	10426471
exon	ENSE00001017048	10457851	10458055
exon	ENSE00001017044	10483537	10483656
exon	ENSE00001543443	10486846	10492329
isoform	ENST00000461281	ENSE00001957208;ENSE00003471779;ENSE00003613854;ENSE00003577791;ENSE00001839401
exon	ENSE00001957208	10239077	10239151
exon	ENSE00003471779	10241104	10241241
exon	ENSE00003613854	10273383	10273500
exon	ENSE00003577791	10284505	10284665
exon	ENSE00001839401	10287389	10287478
gene	ENSG00000185272	ENST00000461088;ENST00000475864;ENST00000468643;ENST00000495055;ENST00000400577;ENST00000468788
isoform	ENST00000461088	ENSE00001839054;ENSE00003574247;ENSE00001949402
exon	ENSE00001839054	3165154	3165282
exon	ENSE00003574247	3168563	3168725
exon	ENSE00001949402	3170097	3170453
isoform	ENST00000475864	ENSE00001865382;ENSE00001847712
exon	ENSE00001865382	3173375	3173537
exon	ENSE00001847712	3175880	3176384
isoform	ENST00000468643	ENSE00001845775;ENSE00001926508;ENSE00003601318;ENSE00003592279;ENSE00003473282
exon	ENSE00001845775	3165130	3165282
exon	ENSE00001926508	3168553	3168725
exon	ENSE00003601318	3170097	3170169
exon	ENSE00003592279	3173438	3173537
exon	ENSE00003473282	3175880	3177372
isoform	ENST00000495055	ENSE00001901873;ENSE00003601318;ENSE00003592279;ENSE00001855722
exon	ENSE00001901873	3165153	3165282
exon	ENSE00003601318	3170097	3170169
exon	ENSE00003592279	3173438	3173537
exon	ENSE00001855722	3175880	3177173
isoform	ENST00000400577	ENSE00001939246;ENSE00003546298;ENSE00003560060;ENSE00003485052;ENSE00003529564
exon	ENSE00001939246	3165178	3165282
exon	ENSE00003546298	3168563	3168725
exon	ENSE00003560060	3170097	3170169
exon	ENSE00003485052	3173438	3173537
exon	ENSE00003529564	3175880	3177372
isoform	ENST00000468788	ENSE00002210130;ENSE00001926508;ENSE00003601318;ENSE00003592279;ENSE00001837415
exon	ENSE00002210130	3165145	3165282
exon	ENSE00001926508	3168553	3168725
exon	ENSE00003601318	3170097	3170169
exon	ENSE00003592279	3173438	3173537
exon	ENSE00001837415	3175859	3176054
gene	ENSG00000228798	ENST00000413645;ENST00000438762
isoform	ENST00000413645	ENSE00001665029;ENSE00001597851
exon	ENSE00001665029	5579827	5579972
exon	ENSE00001597851	5589230	5589633
isoform	ENST00000438762	ENSE00001804332;ENSE00001712871
exon	ENSE00001804332	5580441	5580489
exon	ENSE00001712871	5589230	5589683
gene	ENSG00000173231	ENST00000311003
isoform	ENST00000311003	ENSE00001294445
exon	ENSE00001294445	2725086	2726266
gene	ENSG00000198618	ENST00000358455
isoform	ENST00000358455	ENSE00001636044
exon	ENSE00001636044	7806779	7807276
gene	ENSG00000270093	ENST00000602659
isoform	ENST00000602659	ENSE00003298469
exon	ENSE00003298469	5592529	5594065
gene	ENSG00000183249	ENST00000457709
isoform	ENST00000457709	ENSE00001718290;ENSE00001786392;ENSE00001717418;ENSE00001754050
exon	ENSE00001718290	2949927	2950100
exon	ENSE00001786392	2950542	2950662
exon	ENSE00001717418	2950910	2950984
exon	ENSE00001754050	2954200	2954279
gene	ENSG00000278618	ENST00000621412
isoform	ENST00000621412	ENSE00003716433
exon	ENSE00003716433	2673189	2673274
gene	ENSG00000225502	ENST00000448152
isoform	ENST00000448152	ENSE00001722185
exon	ENSE00001722185	3723301	3724262
gene	ENSG00000280432	ENST00000624971
isoform	ENST00000624971	ENSE00003757355
exon	ENSE00003757355	5474919	5476019
gene	ENSG00000232560	ENST00000613691;ENST00000440664
isoform	ENST00000613691	ENSE00003733945;ENSE00001679869;ENSE00003744295
exon	ENSE00003733945	6390781	6390843
exon	ENSE00001679869	6393083	6393200
exon	ENSE00003744295	6397871	6397908
isoform	ENST00000440664	ENSE00001788379;ENSE00001712270;ENSE00001679869;ENSE00001713465
exon	ENSE00001788379	6387890	6387997
exon	ENSE00001712270	6390677	6390843
exon	ENSE00001679869	6393083	6393200
exon	ENSE00001713465	6397865	6398185
gene	ENSG00000229047	ENST00000446301
isoform	ENST00000446301	ENSE00001721303;ENSE00001679975
exon	ENSE00001721303	3910309	3910721
exon	ENSE00001679975	3913085	3913233
gene	ENSG00000235277	ENST00000430391
isoform	ENST00000430391	ENSE00001786136;ENSE00001726405
exon	ENSE00001786136	3867534	3867772
exon	ENSE00001726405	3895555	3896096
gene	ENSG00000212609	ENST00000391307
isoform	ENST00000391307	ENSE00001509091
exon	ENSE00001509091	8294148	8294312
gene	ENSG00000237202	ENST00000424255
isoform	ENST00000424255	ENSE00001727607
exon	ENSE00001727607	2069244	2069807
gene	ENSG00000279156	ENST00000623771
isoform	ENST00000623771	ENSE00003758460
exon	ENSE00003758460	7866213	7866429
gene	ENSG00000224905	ENST00000428809;ENST00000448463;ENST00000432621
isoform	ENST00000428809	ENSE00001608016;ENSE00001648320;ENSE00001645386
exon	ENSE00001608016	2976421	2976597
exon	ENSE00001648320	3032950	3033144
exon	ENSE00001645386	3092509	3093468
isoform	ENST00000448463	ENSE00001742871;ENSE00001648320;ENSE00001805372
exon	ENSE00001742871	2976451	2976597
exon	ENSE00001648320	3032950	3033144
exon	ENSE00001805372	3037609	3038046
isoform	ENST00000432621	ENSE00001608016;ENSE00001648320;ENSE00001657041
exon	ENSE00001608016	2976421	2976597
exon	ENSE00001648320	3032950	3033144
exon	ENSE00001657041	3092757	3093468
gene	ENSG00000223662	ENST00000449214
isoform	ENST00000449214	ENSE00001647625;ENSE00001596947;ENSE00001698432;ENSE00001665351;ENSE00001783655
exon	ENSE00001647625	3531202	3531291
exon	ENSE00001596947	3534362	3534538
exon	ENSE00001698432	3540322	3540468
exon	ENSE00001665351	3543694	3543740
exon	ENSE00001783655	3546925	3547303
gene	ENSG00000233676	ENST00000425091
isoform	ENST00000425091	ENSE00001750992
exon	ENSE00001750992	9337334	9337845
gene	ENSG00000229231	ENST00000431297
isoform	ENST00000431297	ENSE00001627710
exon	ENSE00001627710	2711338	2713332
gene	ENSG00000228600	ENST00000453699
isoform	ENST00000453699	ENSE00001625311
exon	ENSE00001625311	3706588	3707352
gene	ENSG00000278381	ENST00000613704
isoform	ENST00000613704	ENSE00003712820
exon	ENSE00003712820	2603073	2603356
gene	ENSG00000278181	ENST00000620221
isoform	ENST00000620221	ENSE00003748822
exon	ENSE00003748822	6245219	6245596
gene	ENSG00000185390	ENST00000332473
isoform	ENST00000332473	ENSE00002040703;ENSE00001329082
exon	ENSE00002040703	2298265	2298368
exon	ENSE00001329082	2299457	2299648
gene	ENSG00000243064	ENST00000482980;ENST00000467409;ENST00000471902;ENST00000429114;ENST00000463099;ENST00000481582
isoform	ENST00000482980	ENSE00003486510;ENSE00003548683;ENSE00003655188;ENSE00003668380;ENSE00003465925;ENSE00003654218;ENSE00003494827;ENSE00003518649;ENSE00001861485;ENSE00001851664;ENSE00001941127;ENSE00001862267;ENSE00001868303;ENSE00001809374
exon	ENSE00003486510	3222799	3223157
exon	ENSE00003548683	3228596	3228657
exon	ENSE00003655188	3236550	3236697
exon	ENSE00003668380	3237404	3237546
exon	ENSE00003465925	3240570	3240747
exon	ENSE00003654218	3254696	3254842
exon	ENSE00003494827	3257371	3257455
exon	ENSE00003518649	3257553	3257619
exon	ENSE00001861485	3261944	3262131
exon	ENSE00001851664	3265201	3266635
exon	ENSE00001941127	3272512	3272587
exon	ENSE00001862267	3285080	3285257
exon	ENSE00001868303	3286180	3286240
exon	ENSE00001809374	3286781	3287017
isoform	ENST00000467409	ENSE00001888386;ENSE00003548683;ENSE00003655188;ENSE00003668380;ENSE00003465925;ENSE00001809825
exon	ENSE00001888386	3222891	3223157
exon	ENSE00003548683	3228596	3228657
exon	ENSE00003655188	3236550	3236697
exon	ENSE00003668380	3237404	3237546
exon	ENSE00003465925	3240570	3240747
exon	ENSE00001809825	3248438	3250386
isoform	ENST00000471902	ENSE00001882870;ENSE00003548683;ENSE00003655188;ENSE00003668380;ENSE00001925104
exon	ENSE00001882870	3222936	3223157
exon	ENSE00003548683	3228596	3228657
exon	ENSE00003655188	3236550	3236697
exon	ENSE00003668380	3237404	3237546
exon	ENSE00001925104	3240286	3240399
isoform	ENST00000429114	ENSE00001602011;ENSE00001685786;ENSE00001749100;ENSE00001595237;ENSE00003548683
exon	ENSE00001602011	3185206	3185306
exon	ENSE00001685786	3217403	3217592
exon	ENSE00001749100	3218487	3218659
exon	ENSE00001595237	3219525	3219609
exon	ENSE00003548683	3228596	3228657
isoform	ENST00000463099	ENSE00001856952;ENSE00003548683;ENSE00003655188;ENSE00003668380;ENSE00003465925;ENSE00001880249;ENSE00001889039;ENSE00001844190;ENSE00003654218;ENSE00003494827;ENSE00003518649;ENSE00001857549;ENSE00001845742;ENSE00001913535;ENSE00001882947;ENSE00001941127;ENSE00001868303;ENSE00001907632;ENSE00001854008;ENSE00001881574;ENSE00001914404;ENSE00001957758;ENSE00001860265;ENSE00001946890;ENSE00001927536;ENSE00001870240;ENSE00001856887;ENSE00001916507
exon	ENSE00001856952	3223092	3223157
exon	ENSE00003548683	3228596	3228657
exon	ENSE00003655188	3236550	3236697
exon	ENSE00003668380	3237404	3237546
exon	ENSE00003465925	3240570	3240747
exon	ENSE00001880249	3248438	3248681
exon	ENSE00001889039	3251075	3251140
exon	ENSE00001844190	3253223	3253360
exon	ENSE00003654218	3254696	3254842
exon	ENSE00003494827	3257371	3257455
exon	ENSE00003518649	3257553	3257619
exon	ENSE00001857549	3257972	3258098
exon	ENSE00001845742	3261944	3262120
exon	ENSE00001913535	3265201	3265368
exon	ENSE00001882947	3266473	3266635
exon	ENSE00001941127	3272512	3272587
exon	ENSE00001868303	3286180	3286240
exon	ENSE00001907632	3286781	3287000
exon	ENSE00001854008	3294156	3294310
exon	ENSE00001881574	3297016	3297171
exon	ENSE00001914404	3301629	3301828
exon	ENSE00001957758	3302554	3302680
exon	ENSE00001860265	3304041	3304142
exon	ENSE00001946890	3306731	3306874
exon	ENSE00001927536	3308150	3308309
exon	ENSE00001870240	3309840	3310003
exon	ENSE00001856887	3311032	3311226
exon	ENSE00001916507	3311652	3311754
isoform	ENST00000481582	ENSE00001860371;ENSE00003548683;ENSE00003655188;ENSE00001852478;ENSE00001833363
exon	ENSE00001860371	3222880	3223157
exon	ENSE00003548683	3228596	3228657
exon	ENSE00003655188	3236550	3236697
exon	ENSE00001852478	3237404	3240747
exon	ENSE00001833363	3248438	3248685
gene	ENSG00000234538	ENST00000453500
isoform	ENST00000453500	ENSE00001720762
exon	ENSE00001720762	2788118	2788409
gene	ENSG00000230233	ENST00000416002
isoform	ENST00000416002	ENSE00001681783;ENSE00001717663;ENSE00001657570
exon	ENSE00001681783	7563431	7563565
exon	ENSE00001717663	7589689	7589839
exon	ENSE00001657570	7598768	7599360
gene	ENSG00000215386	ENST00000602935;ENST00000418813;ENST00000602901;ENST00000602505;ENST00000445461;ENST00000602620;ENST00000602323;ENST00000435697;ENST00000602280;ENST00000602580;ENST00000635845;ENST00000419952;ENST00000400178;ENST00000456342;ENST00000602339;ENST00000602892;ENST00000428669;ENST00000453910;ENST00000619222;ENST00000441820
isoform	ENST00000602935	ENSE00003268007;ENSE00001715598;ENSE00001494058;ENSE00001625593;ENSE00001758912;ENSE00003379486
exon	ENSE00003268007	5019533	5019567
exon	ENSE00001715598	5020114	5020398
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00003379486	5436490	5436494
isoform	ENST00000418813	ENSE00001762640;ENSE00001789031;ENSE00001769076;ENSE00001763221;ENSE00003254110
exon	ENSE00001762640	5368402	5368741
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001763221	5555994	5556087
exon	ENSE00003254110	5562450	5562481
isoform	ENST00000602901	ENSE00003330694;ENSE00001758912;ENSE00001789031;ENSE00001769076;ENSE00001740282
exon	ENSE00003330694	5180079	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001740282	5555994	5556130
isoform	ENST00000602505	ENSE00003234720;ENSE00001758912;ENSE00003408823
exon	ENSE00003234720	5143565	5143633
exon	ENSE00001758912	5340614	5340685
exon	ENSE00003408823	5436490	5436537
isoform	ENST00000445461	ENSE00001624625;ENSE00001625593;ENSE00001758912;ENSE00001789031;ENSE00001769076;ENSE00001706385
exon	ENSE00001624625	5143395	5143633
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00001706385	5555994	5556222
isoform	ENST00000602620	ENSE00003366954;ENSE00001789031;ENSE00001769076;ENSE00003346913
exon	ENSE00003366954	5369455	5369572
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001769076	5486379	5486439
exon	ENSE00003346913	5555994	5556137
isoform	ENST00000602323	ENSE00003287532;ENSE00003444578;ENSE00001541870;ENSE00001763221;ENSE00003429581
exon	ENSE00003287532	5537689	5537747
exon	ENSE00003444578	5538353	5538540
exon	ENSE00001541870	5543340	5543454
exon	ENSE00001763221	5555994	5556087
exon	ENSE00003429581	5576177	5576195
isoform	ENST00000435697	ENSE00001755077;ENSE00001693300
exon	ENSE00001755077	5368432	5368741
exon	ENSE00001693300	5436490	5436895
isoform	ENST00000602280	ENSE00003279862;ENSE00001541870;ENSE00001763221;ENSE00003271178
exon	ENSE00003279862	5486343	5486439
exon	ENSE00001541870	5543340	5543454
exon	ENSE00001763221	5555994	5556087
exon	ENSE00003271178	5576177	5576397
isoform	ENST00000602580	ENSE00001494061;ENSE00001715598;ENSE00001494058;ENSE00001625593;ENSE00001758912;ENSE00003336157
exon	ENSE00001494061	5019522	5019548
exon	ENSE00001715598	5020114	5020398
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00003336157	5436490	5436508
isoform	ENST00000635845	ENSE00003798308;ENSE00001715598;ENSE00001494058;ENSE00001625593;ENSE00001758912;ENSE00003799649
exon	ENSE00003798308	4877296	4877529
exon	ENSE00001715598	5020114	5020398
exon	ENSE00001494058	5130591	5130687
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00003799649	5436490	5437329
isoform	ENST00000419952	ENSE00002227479;ENSE00001625593;ENSE00001758912;ENSE00001789031;ENSE00001614463
exon	ENSE00002227479	5143379	5143633
exon	ENSE00001625593	5180056	5180115
exon	ENSE00001758912	5340614	5340685
exon	ENSE00001789031	5436490	5436538
exon	ENSE00001614463	5470719	5470804
isoform	ENST00000400178	ENSE00001715598;ENSE00001494058;ENSE00001625593;ENSE00001758912;ENSE00001789031;ENSE00001740282
